state,year,quarter,district,count,amount
Andaman & Nicobar Islands,2018,1,North And Middle Andaman District,442,931663.08
Andaman & Nicobar Islands,2018,1,South Andaman District,5688,12560249.34
Andaman & Nicobar Islands,2018,1,Nicobars District,528,1139848.8
Andaman & Nicobar Islands,2018,2,North And Middle Andaman District,825,1317863.08
Andaman & Nicobar Islands,2018,2,South Andaman District,9395,23948235.52
Andaman & Nicobar Islands,2018,2,Nicobars District,1120,3072436.91
Andaman & Nicobar Islands,2018,3,North And Middle Andaman District,1283,4901529.52
Andaman & Nicobar Islands,2018,3,South Andaman District,13511,44268112.46
Andaman & Nicobar Islands,2018,3,Nicobars District,1471,6387829.15
Andaman & Nicobar Islands,2018,4,North And Middle Andaman District,2137,7955635.92
Andaman & Nicobar Islands,2018,4,South Andaman District,20136,75411840.8
Andaman & Nicobar Islands,2018,4,Nicobars District,1485,7180859.35
Andaman & Nicobar Islands,2019,1,North And Middle Andaman District,3264,9561708.74
Andaman & Nicobar Islands,2019,1,South Andaman District,25683,85501972.39
Andaman & Nicobar Islands,2019,1,Nicobars District,1539,7236059.55
Andaman & Nicobar Islands,2019,2,North And Middle Andaman District,3371,8612103.14
Andaman & Nicobar Islands,2019,2,South Andaman District,28490,102530955.71
Andaman & Nicobar Islands,2019,2,Nicobars District,1828,9111650.82
Andaman & Nicobar Islands,2019,3,North And Middle Andaman District,4049,11481466.28
Andaman & Nicobar Islands,2019,3,South Andaman District,27421,91023888.33
Andaman & Nicobar Islands,2019,3,Nicobars District,2300,11566421.48
Andaman & Nicobar Islands,2019,4,North And Middle Andaman District,4716,13524056.78
Andaman & Nicobar Islands,2019,4,South Andaman District,27843,110930312.21
Andaman & Nicobar Islands,2019,4,Nicobars District,2600,12384161.53
Andaman & Nicobar Islands,2020,1,North And Middle Andaman District,5674,14697371.62
Andaman & Nicobar Islands,2020,1,South Andaman District,32713,134679396.91
Andaman & Nicobar Islands,2020,1,Nicobars District,2911,12099543.77
Andaman & Nicobar Islands,2020,2,North And Middle Andaman District,10979,22447714.06
Andaman & Nicobar Islands,2020,2,South Andaman District,48088,132855778.75
Andaman & Nicobar Islands,2020,2,Nicobars District,3895,14341508.6
Andaman & Nicobar Islands,2020,3,North And Middle Andaman District,16747,33486883.37
Andaman & Nicobar Islands,2020,3,South Andaman District,95323,282366109.21
Andaman & Nicobar Islands,2020,3,Nicobars District,5413,22166453.75
Andaman & Nicobar Islands,2020,4,North And Middle Andaman District,29349,68941322.39
Andaman & Nicobar Islands,2020,4,South Andaman District,186494,523122462.88
Andaman & Nicobar Islands,2020,4,Nicobars District,8688,35218871.04
Andaman & Nicobar Islands,2021,1,North And Middle Andaman District,27358,75027255.28
Andaman & Nicobar Islands,2021,1,South Andaman District,207092,669604045.12
Andaman & Nicobar Islands,2021,1,Nicobars District,10302,39075266.99
Andaman & Nicobar Islands,2021,2,North And Middle Andaman District,39200,90233388.79
Andaman & Nicobar Islands,2021,2,South Andaman District,286907,760893020.57
Andaman & Nicobar Islands,2021,2,Nicobars District,15307,48020606.75
Andaman & Nicobar Islands,2021,3,North And Middle Andaman District,46592,118254865.83
Andaman & Nicobar Islands,2021,3,South Andaman District,382418,1116789010.65
Andaman & Nicobar Islands,2021,3,Nicobars District,20754,74980519.33
Andaman & Nicobar Islands,2021,4,North And Middle Andaman District,53115,156486112.29
Andaman & Nicobar Islands,2021,4,South Andaman District,558571,1694794708.01
Andaman & Nicobar Islands,2021,4,Nicobars District,24437,81329281.03
Andaman & Nicobar Islands,2022,1,North And Middle Andaman District,60059,161624878.52
Andaman & Nicobar Islands,2022,1,South Andaman District,705512,1872991195.9
Andaman & Nicobar Islands,2022,1,Nicobars District,29177,94414127.65
Andaman & Nicobar Islands,2022,2,North And Middle Andaman District,72573,195693167.79
Andaman & Nicobar Islands,2022,2,South Andaman District,954875,2357326563.36
Andaman & Nicobar Islands,2022,2,Nicobars District,43769,132900618.93
Andaman & Nicobar Islands,2022,3,North And Middle Andaman District,79574,211581970.34
Andaman & Nicobar Islands,2022,3,South Andaman District,1455255,2967719400.85
Andaman & Nicobar Islands,2022,3,Nicobars District,49550,131330400.95
Andaman & Nicobar Islands,2022,4,North And Middle Andaman District,93297,241431284.36
Andaman & Nicobar Islands,2022,4,South Andaman District,1835592,3600887266.1
Andaman & Nicobar Islands,2022,4,Nicobars District,58646,142355853.97
Andaman & Nicobar Islands,2023,1,North And Middle Andaman District,152187,392080332.0
Andaman & Nicobar Islands,2023,1,South Andaman District,2030078,3867385426.0
Andaman & Nicobar Islands,2023,1,Nicobars District,94127,202062829.0
Andaman & Nicobar Islands,2023,2,North And Middle Andaman District,181149,462414675.0
Andaman & Nicobar Islands,2023,2,South Andaman District,2417058,4297737197.0
Andaman & Nicobar Islands,2023,2,Nicobars District,109568,230192364.0
Andaman & Nicobar Islands,2023,3,North And Middle Andaman District,198547,495623030.0
Andaman & Nicobar Islands,2023,3,South Andaman District,2771397,4462201588.0
Andaman & Nicobar Islands,2023,3,Nicobars District,128432,253772173.0
Andaman & Nicobar Islands,2023,4,North And Middle Andaman District,230234,540759631.0
Andaman & Nicobar Islands,2023,4,South Andaman District,3311962,5417264997.0
Andaman & Nicobar Islands,2023,4,Nicobars District,153587,311527871.0
Andaman & Nicobar Islands,2024,1,North And Middle Andaman District,266400,601756070.0
Andaman & Nicobar Islands,2024,1,South Andaman District,3751724,5952049462.0
Andaman & Nicobar Islands,2024,1,Nicobars District,166796,305346303.0
Andaman & Nicobar Islands,2024,2,North And Middle Andaman District,313301,676844858.0
Andaman & Nicobar Islands,2024,2,South Andaman District,4153251,6285248054.0
Andaman & Nicobar Islands,2024,2,Nicobars District,186672,333687418.0
Andaman & Nicobar Islands,2024,3,North And Middle Andaman District,364075,724234808.0
Andaman & Nicobar Islands,2024,3,South Andaman District,4704639,6567147442.0
Andaman & Nicobar Islands,2024,3,Nicobar District,210536,372462759.0
Andaman & Nicobar Islands,2024,4,North And Middle Andaman District,411230,759100984.0
Andaman & Nicobar Islands,2024,4,South Andaman District,5419850,7760167334.0
Andaman & Nicobar Islands,2024,4,Nicobar District,232820,401676455.0
Andhra Pradesh,2018,1,East Godavari District,943935,1235785515.6
Andhra Pradesh,2018,1,Srikakulam District,458921,587778028.92
Andhra Pradesh,2018,1,Spsr Nellore District,531612,676643237.81
Andhra Pradesh,2018,1,Vizianagaram District,420990,505783445.78
Andhra Pradesh,2018,1,Visakhapatnam District,1256469,1749966196.5
Andhra Pradesh,2018,1,Prakasam District,534757,748990775.87
Andhra Pradesh,2018,1,Anantapur District,638664,788830646.03
Andhra Pradesh,2018,1,Ysr District,487333,681481931.09
Andhra Pradesh,2018,1,West Godavari District,577090,853547668.75
Andhra Pradesh,2018,1,Kurnool District,679623,764905298.74
Andhra Pradesh,2018,1,Chittoor District,830324,1009621878.09
Andhra Pradesh,2018,1,Guntur District,815932,1108686589.03
Andhra Pradesh,2018,1,Krishna District,863935,1284255179.62
Andhra Pradesh,2018,2,East Godavari District,1221677,2168914928.42
Andhra Pradesh,2018,2,Srikakulam District,559868,929392017.37
Andhra Pradesh,2018,2,Spsr Nellore District,780454,1542057934.01
Andhra Pradesh,2018,2,Vizianagaram District,529588,811711367.51
Andhra Pradesh,2018,2,Visakhapatnam District,1641192,2987853607.29
Andhra Pradesh,2018,2,Prakasam District,739991,1571167562.13
Andhra Pradesh,2018,2,Anantapur District,937023,1690366079.06
Andhra Pradesh,2018,2,Ysr District,690842,1415500367.69
Andhra Pradesh,2018,2,West Godavari District,786033,1688025212.3
Andhra Pradesh,2018,2,Kurnool District,968439,1531888665.68
Andhra Pradesh,2018,2,Chittoor District,1185723,1990419125.89
Andhra Pradesh,2018,2,Guntur District,1088101,2108475811.79
Andhra Pradesh,2018,2,Krishna District,1224987,2448141593.49
Andhra Pradesh,2018,3,East Godavari District,3226907,3551247095.31
Andhra Pradesh,2018,3,Srikakulam District,1073883,1318322236.6
Andhra Pradesh,2018,3,Spsr Nellore District,1308890,2215938596.19
Andhra Pradesh,2018,3,Vizianagaram District,970132,1163546006.9
Andhra Pradesh,2018,3,Visakhapatnam District,3394576,4821892253.39
Andhra Pradesh,2018,3,Prakasam District,1319651,2346453445.48
Andhra Pradesh,2018,3,Anantapur District,1815215,2681787750.46
Andhra Pradesh,2018,3,Ysr District,1557444,2235904512.25
Andhra Pradesh,2018,3,West Godavari District,1431282,2309078492.81
Andhra Pradesh,2018,3,Kurnool District,2921189,2908389261.54
Andhra Pradesh,2018,3,Chittoor District,2297429,3283517630.72
Andhra Pradesh,2018,3,Guntur District,1912529,3127764663.18
Andhra Pradesh,2018,3,Krishna District,2396934,3754202654.38
Andhra Pradesh,2018,4,East Godavari District,3052762,4652624623.44
Andhra Pradesh,2018,4,Srikakulam District,1252807,1870278609.5
Andhra Pradesh,2018,4,Spsr Nellore District,1814997,3293448556.97
Andhra Pradesh,2018,4,Vizianagaram District,1386787,1817673252.54
Andhra Pradesh,2018,4,Visakhapatnam District,4791421,7366635864.85
Andhra Pradesh,2018,4,Prakasam District,1692862,3255254226.04
Andhra Pradesh,2018,4,Anantapur District,2286391,3975878156.33
Andhra Pradesh,2018,4,Ysr District,1732527,3252340063.25
Andhra Pradesh,2018,4,West Godavari District,1688482,3237504255.46
Andhra Pradesh,2018,4,Kurnool District,2508530,3626544852.41
Andhra Pradesh,2018,4,Chittoor District,3166201,4979093890.22
Andhra Pradesh,2018,4,Guntur District,2546620,4730251217.7
Andhra Pradesh,2018,4,Krishna District,2839161,5416251838.13
Andhra Pradesh,2019,1,East Godavari District,5440146,7382264724.6
Andhra Pradesh,2019,1,Srikakulam District,2526855,3407912878.42
Andhra Pradesh,2019,1,Spsr Nellore District,3333584,5161932216.22
Andhra Pradesh,2019,1,Vizianagaram District,2798241,3364576948.3
